year,state,minimumwage2020dollars,cpiavg,stateid,percentunemploymentrate,percentlaborforceparticipation,realgdp2020,ahw2020,real_gdp_per_capita_2020,kaitz_index,ResidentPopulation
2001,Alabama,7.52,177.10001,1,5.1999998,62.700001,176820.61,21.153765,39578.13241,-1.0342517,4467.634
2002,Alabama,7.4000001,179.89999,1,5.9000001,62.099998,180844.17,21.543036,40366.20031,-1.0685725,4480.089
2003,Alabama,7.2399998,184,1,6,62.200001,186156.34,21.802299,41336.008,-1.1023943,4503.491
2004,Alabama,7.0500002,188.89999,1,5.5999999,62.099998,199109.36,22.024359,43946.42893,-1.1391214,4530.729
2005,Alabama,6.8200002,195.3,1,4.5,61.5,207839.73,22.03145,45481.09383,-1.1726114,4569.805
2006,Alabama,6.6100001,201.60001,1,4,61.599998,211110.38,23.058479,45606.2317,-1.24945,4628.981
2007,Alabama,6.4200001,207.342,1,4,61.299999,213062.52,22.498804,45595.93737,-1.2540441,4672.84
2008,Alabama,7.0300002,215.30299,1,5.9000001,60.599998,210745.02,22.389112,44666.34564,-1.1583881,4718.206
2009,Alabama,7.9000001,214.537,1,10.1,59.599998,203711.23,22.86128,42815.02407,-1.0625818,4757.938
2010,Alabama,8.6000004,218.056,1,10.4,59.5,208215.02,22.996187,43509.43702,-0.98356628,4785.514
2011,Alabama,8.3400002,224.939,1,9.6000004,59.099998,211488.02,22.781879,44063.29055,-1.0049021,4799.642
2012,Alabama,8.1700001,229.59399,1,8.1999998,58.200001,213336.45,22.771461,44291.62328,-1.0250392,4816.632
2013,Alabama,8.0500002,232.957,1,7.3000002,57.700001,215731.17,22.581076,44650.17698,-1.03144,4831.586
2014,Alabama,7.9200001,236.73599,1,6.6999998,57.200001,214058.83,22.740639,44192.90932,-1.0547624,4843.737
2015,Alabama,7.9099998,237.017,1,6.0999999,56.700001,215692.17,23.2323,44428.6143,-1.0774157,4854.803
2016,Alabama,7.8099999,240.007,1,5.9000001,56.5,219016.13,23.239519,45001.85953,-1.0904493,4866.824
2017,Alabama,7.6500001,245.12,1,4.5999999,56.700001,222716.83,23.361788,45657.50968,-1.116396,4877.989
2018,Alabama,7.4699998,251.10699,1,3.9000001,57.299999,226362.86,23.48856,46275.56715,-1.1456184,4891.628
2019,Alabama,7.3400002,255.657,1,3,57.900002,229274.67,23.763742,46714.81357,-1.1748221,4907.965
2020,Alabama,7.25,258.66,1,6,57.5,221972.25,25.075001,45102.26694,-1.2408699,4921.532
2001,Alaska,8.25,177.10001,2,6.3000002,72.599998,46172.742,25.42836,72860.53646,-1.1256518,633.714
2002,Alaska,8.1199999,179.89999,2,7.1999998,72.400002,48450.227,25.67901,75428.04945,-1.1513438,642.337
2003,Alaska,10.05,184,2,7.6999998,72.199997,47747.129,25.564953,73636.79532,-0.93364978,648.414
2004,Alaska,9.79,188.89999,2,7.4000001,71.599998,49663.203,25.723627,75328.7693,-0.96604848,659.286
2005,Alaska,9.4700003,195.3,2,6.9000001,71.699997,51469.25,25.609491,77171.54012,-0.99483418,666.946
2006,Alaska,9.1700001,201.60001,2,6.5999999,71.199997,55452.113,25.772285,82114.53987,-1.0333624,675.302
2007,Alaska,8.9200001,207.342,2,6.3000002,70.599998,58305.082,26.399429,85704.95664,-1.0850465,680.3
2008,Alaska,8.5900002,215.30299,2,6.5,70.800003,57776.492,26.476252,84044.03488,-1.1256495,687.455
2009,Alaska,8.6199999,214.537,2,8,70.199997,63371.281,27.324961,90673.53608,-1.1537154,698.895
2010,Alaska,9.1899996,218.056,2,8.1000004,69.699997,61552.27,27.536081,86209.83442,-1.0973814,713.982
2011,Alaska,8.9099998,224.939,2,7.6999998,68.900002,62317.48,27.32675,86270.59773,-1.1206918,722.349
2012,Alaska,8.7299995,229.59399,2,7.3000002,68.099998,65703.102,27.421574,89904.49228,-1.1445649,730.81
2013,Alaska,8.6099997,232.957,2,7,67.5,62400.902,27.552799,84596.93937,-1.1631799,737.626
2014,Alaska,8.4700003,236.73599,2,6.6999998,67.400002,61086.359,28.070477,82876.72082,-1.1981878,737.075
2015,Alaska,9.5500002,237.017,2,6.3000002,66.800003,61709.305,28.746901,83568.25291,-1.1019888,738.43
2016,Alaska,10.51,240.007,2,6.5999999,66.300003,61152.191,27.795759,82351.53486,-0.97255635,742.575
2017,Alaska,10.34,245.12,2,6.5,66,61020.184,27.268618,82350.31573,-0.96971655,740.983
2018,Alaska,10.14,251.10699,2,5.9000001,65.099998,60028.273,27.583605,81491.06328,-1.0007336,736.624
2019,Alaska,10.31,255.657,2,5.4000001,64.800003,60126.238,27.990095,81960.18555,-0.99873638,733.603
2020,Alaska,10.19,258.66,2,7.9000001,63.700001,56546.496,29.674999,77338.27162,-1.068898,731.158
2001,Arizona,7.52,177.10001,3,4.6999998,65.599998,240302.25,23.492006,45568.08534,-1.1390941,5273.477
2002,Arizona,7.4000001,179.89999,3,6.0999999,66,248791.39,23.557076,46104.45392,-1.1579461,5396.255
2003,Arizona,7.2399998,184,3,5.8000002,65.400002,263862.5,23.70121,47884.76769,-1.185905,5510.364
2004,Arizona,7.0500002,188.89999,3,5,64.800003,275418.91,24.148012,48725.97748,-1.2311743,5652.404
2005,Arizona,6.8200002,195.3,3,4.6999998,64.099998,295720.09,24.317419,50645.00605,-1.2713333,5839.077
2006,Arizona,6.6100001,201.60001,3,4.3000002,64.199997,309082.44,24.71315,51264.75563,-1.3187518,6029.141
2007,Arizona,8.4200001,207.342,3,3.8,63.400002,319308.5,24.932795,51771.24109,-1.0855742,6167.681
2008,Arizona,8.29,215.30299,3,5.8000002,63.599998,316557.22,24.582947,50404.29517,-1.087003,6280.362
2009,Arizona,8.7399998,214.537,3,9.6999998,63.200001,290278.06,24.851839,45762.41725,-1.0450218,6343.154
2010,Arizona,8.6000004,218.056,3,10.3,63.200001,293444.19,24.717194,45798.11566,-1.0557368,6407.342
2011,Arizona,8.4499998,224.939,3,9.3999996,62,299976.22,24.651604,46339.70998,-1.0706754,6473.416
2012,Arizona,8.6199999,229.59399,3,8.3999996,61,305994.31,24.716051,46671.4849,-1.0533676,6556.344
2013,Arizona,8.6599998,232.957,3,7.8000002,60.299999,308296.16,24.525326,46467.30443,-1.0409915,6634.69
2014,Arizona,8.6300001,236.73599,3,6.8000002,60.200001,312204.5,24.653913,46370.17511,-1.049691,6732.873
2015,Arizona,8.79,237.017,3,6.0999999,60.400002,318549.06,25.170599,46620.50606,-1.0520618,6832.81
2016,Arizona,8.6800003,240.007,3,5.5,60.400002,328354.53,25.153681,47280.85622,-1.0639827,6944.767
2017,Arizona,10.55,245.12,3,5,60.599998,340957.97,25.447189,48375.95246,-0.88047957,7048.088
2018,Arizona,10.82,251.10699,3,4.8000002,61.200001,353542.38,25.677734,49348.28707,-0.86422801,7164.228
2019,Arizona,12.14,255.657,3,4.9000001,61.799999,365126.03,26.193262,50073.21606,-0.76899648,7291.843
2020,Arizona,12,258.66,3,7.9000001,60.900002,361356.69,28.1,48691.16896,-0.85086298,7421.401
2001,Arkansas,7.52,177.10001,4,4.8000002,61.799999,101219.14,19.144341,37605.97064,-0.93444085,2691.571
2002,Arkansas,7.4000001,179.89999,4,5.3000002,62.200001,104783.1,19.421101,38723.55019,-0.96487999,2705.927
2003,Arkansas,7.2399998,184,4,5.8000002,62,109285.53,19.551741,40107.48983,-0.99344325,2724.816
2004,Arkansas,7.0500002,188.89999,4,5.5999999,62.400002,114684.29,19.934956,41708.14049,-1.0394472,2749.686
2005,Arkansas,6.8200002,195.3,4,5.3000002,63.099998,119471.26,19.911131,42958.32184,-1.0714194,2781.097
2006,Arkansas,6.6100001,201.60001,4,5.3000002,62.799999,122267.63,19.995186,43330.25724,-1.1069078,2821.761
2007,Arkansas,7.8000002,207.342,4,5.4000001,62.400002,121304.36,20.47048,42583.10428,-0.9648602,2848.65
2008,Arkansas,7.5100002,215.30299,4,5.4000001,62.099998,120098.59,20.195278,41779.90394,-0.98921323,2874.554
2009,Arkansas,7.9000001,214.537,4,7.6999998,61.400002,116108.07,20.68976,40080.89841,-0.96277618,2896.843
2010,Arkansas,8.6000004,218.056,4,7.9000001,60.599998,119112.77,20.681732,40764.15179,-0.87748861,2921.998
2011,Arkansas,8.3400002,224.939,4,7.9000001,60.200001,121672.3,20.624504,41370.52972,-0.90541673,2941.038
2012,Arkansas,8.1700001,229.59399,4,7.3000002,59.599998,122303.14,20.714138,41418.31218,-0.93034768,2952.876
2013,Arkansas,8.0500002,232.957,4,7,58.5,124851.18,20.803474,42172.91305,-0.94944787,2960.459
2014,Arkansas,7.9200001,236.73599,4,5.9000001,58.099998,125958.3,21.018692,42427.93032,-0.97602081,2968.759
2015,Arkansas,8.1800003,237.017,4,5,58.299999,126653.28,21.4578,42504.92326,-0.964396,2979.732
2016,Arkansas,8.6199999,240.007,4,4,58.099998,127157.3,21.54104,42501.72554,-0.91587472,2991.815
2017,Arkansas,8.9700003,245.12,4,3.7,58.099998,128382.79,21.804335,42739.34328,-0.88822293,3003.855
2018,Arkansas,8.7600002,251.10699,4,3.7,58,130696.45,21.762976,43389.59637,-0.91001439,3012.161
2019,Arkansas,9.3599997,255.657,4,3.5,58.200001,131658.38,22.118755,43581.27564,-0.85998082,3020.985
2020,Arkansas,10,258.66,4,6.0999999,57.400002,129575.8,23.4,42756.92438,-0.85015082,3030.522
2001,California,9.1300001,177.10001,5,5.5,67,1907757,29.045324,55330.2491,-1.1572919,34479.458
2002,California,9.71,179.89999,5,6.8000002,66.599998,1941799.5,28.664104,55683.8794,-1.0824893,34871.843
2003,California,9.4899998,184,5,6.9000001,65.900002,2017865.3,28.800135,57239.27606,-1.1101415,35253.159
2004,California,9.2399998,188.89999,5,6.1999998,65.5,2086524.6,29.388647,58652.12842,-1.1570666,35574.576
2005,California,8.9399996,195.3,5,5.4000001,65.5,2172129,29.45257,60626.67343,-1.1922457,35827.943
2006,California,8.6599998,201.60001,5,4.9000001,65.400002,2257347.8,29.848351,62667.19806,-1.2374148,36021.202
2007,California,9.3599997,207.342,5,5.3000002,65.699997,2301036,30.331259,63476.31059,-1.1757336,36250.311
2008,California,9.6099997,215.30299,5,7.3000002,65.900002,2324085.5,29.751974,63492.08019,-1.1300912,36604.337
2009,California,9.6499996,214.537,5,11.5,65.5,2249459.3,29.918718,60859.97032,-1.1315265,36961.229
2010,California,9.4899998,218.056,5,12.5,64.400002,2295199.8,30.414312,61501.27212,-1.1646748,37319.55
2011,California,9.1999998,224.939,5,11.9,63.599998,2326552.8,30.433371,61816.70674,-1.1963363,37636.311
2012,California,9.0100002,229.59399,5,10.5,63.099998,2382093.5,30.77529,62778.27612,-1.2283769,37944.551
2013,California,8.8800001,232.957,5,9,62.700001,2456644.8,30.496952,64219.68157,-1.2338252,38253.768
2014,California,9.8299999,236.73599,5,7.5999999,62.299999,2543250.5,31.022387,65910.01834,-1.1492701,38586.706
2015,California,9.8199997,237.017,5,6.1999998,62.200001,2657556.8,32.405098,68310.11156,-1.1938946,38904.296
2016,California,10.78,240.007,5,5.5,62.200001,2736965.5,32.64856,69911.17261,-1.1081083,39149.186
2017,California,10.55,245.12,5,4.8000002,62.299999,2865336.5,33.419235,72839.29433,-1.1530058,39337.785
2018,California,11.33,251.10699,5,4.3000002,62.200001,2980103.5,33.919334,75565.29435,-1.0965312,39437.463
2019,California,12.14,255.657,5,4.1999998,62.299999,3088061.8,34.721889,78302.45798,-1.0508645,39437.61
2020,California,13,258.66,5,10.2,60.599998,3002750.5,38.224998,76273.73884,-1.0785403,39368.078
2001,Colorado,7.52,177.10001,6,3.8,71.599998,264892.28,26.670549,59853.36966,-1.2659938,4425.687
2002,Colorado,7.4000001,179.89999,6,5.6999998,71.900002,265385.94,26.290415,59100.65593,-1.2677243,4490.406
2003,Colorado,7.2399998,184,6,6.0999999,72.099998,268052,26.338585,59189.19468,-1.2914138,4528.732
2004,Colorado,7.0500002,188.89999,6,5.5999999,72.699997,271394.78,26.545687,59321.09483,-1.3258396,4575.013
2005,Colorado,6.8200002,195.3,6,5.0999999,72.5,283581.78,26.504,61223.79902,-1.3574361,4631.888
2006,Colorado,6.6100001,201.60001,6,4.3000002,72.900002,290201.06,26.863514,61477.76587,-1.4021854,4720.423
2007,Colorado,8.5500002,207.342,6,3.7,72.800003,300862.28,27.241966,62629.17299,-1.1588273,4803.868
2008,Colorado,8.4300003,215.30299,6,4.9000001,72.599998,305477.34,26.92704,62473.25312,-1.161334,4889.73
2009,Colorado,8.7799997,214.537,6,7.9000001,71.199997,298696.5,27.17416,60073.368,-1.1297903,4972.195
2010,Colorado,8.6000004,218.056,6,9.1000004,70.199997,301957.34,27.328373,59822.68587,-1.1561632,5047.539
2011,Colorado,8.46,224.939,6,8.6999998,69.599998,306288.09,27.15416,59799.70128,-1.1661808,5121.9
2012,Colorado,8.6099997,229.59399,6,8,68.900002,312062.69,27.393389,60085.31363,-1.1573775,5193.66
2013,Colorado,8.6400003,232.957,6,6.8000002,68.099998,322699.88,27.163952,61224.38185,-1.1454883,5270.774
2014,Colorado,8.7399998,236.73599,6,5,67.599998,336674.13,27.715155,62898.74131,-1.1540692,5352.637
2015,Colorado,8.9799995,237.017,6,3.7,66.699997,352179.47,28.446598,64568.81031,-1.1530287,5454.328
2016,Colorado,8.96,240.007,6,3.0999999,66.900002,359556.16,28.334961,64856.83219,-1.1513262,5543.844
2017,Colorado,9.8100004,245.12,6,2.5999999,67.800003,371964.59,28.905262,66216.25653,-1.0806215,5617.421
2018,Colorado,10.51,251.10699,6,3,68.599998,386140.72,29.180416,67777.81542,-1.0211706,5697.155
2019,Colorado,12.14,255.657,6,2.7,68.800003,402190.88,30.090618,69843.16364,-0.90770769,5758.486
2020,Colorado,12,258.66,6,7.3000002,67.699997,390058.53,32.049999,67162.08722,-0.9823904,5807.719
2001,Connecticut,9.3500004,177.10001,7,2.9000001,67,245903.92,33.027641,71632.89817,-1.2619684,3432.835
2002,Connecticut,9.6300001,179.89999,7,4.4000001,67.5,244260.77,32.404465,70621.13209,-1.213413,3458.749
2003,Connecticut,9.6999998,184,7,5.5,67.400002,247088.38,32.668285,70914.05077,-1.2142787,3484.336
2004,Connecticut,9.7200003,188.89999,7,5.0999999,66.699997,263141.69,33.601704,75267.33835,-1.240391,3496.094
2005,Connecticut,9.3999996,195.3,7,4.8000002,67,268916.84,33.726341,76680.98488,-1.2775695,3506.956
2006,Connecticut,9.4899998,201.60001,7,4.4000001,68,279833.97,33.828129,79555.6936,-1.271054,3517.46
2007,Connecticut,9.54,207.342,7,4.5,68.599998,290790.41,34.82478,82440.6439,-1.2948358,3527.27
2008,Connecticut,9.1899996,215.30299,7,5.6999998,68.900002,290568.34,33.748959,81952.29608,-1.3008337,3545.579
2009,Connecticut,9.6499996,214.537,7,8.3000002,68.800003,276069.78,33.507759,77508.34899,-1.2448192,3561.807
2010,Connecticut,9.79,218.056,7,9.6000004,68.300003,275461.06,33.945339,76962.20887,-1.2433903,3579.173
2011,Connecticut,9.4899998,224.939,7,9,67.699997,268908.84,33.827641,74933.52342,-1.2710395,3588.632
2012,Connecticut,9.29,229.59399,7,8.3999996,66.400002,271580,33.649906,75539.37724,-1.2870717,3595.211
2013,Connecticut,9.1599998,232.957,7,8,65.400002,266099.84,33.302223,74003.12365,-1.2907779,3595.792
2014,Connecticut,9.5100002,236.73599,7,6.5999999,65.900002,265795.81,33.591644,73920.52501,-1.2619336,3595.697
2015,Connecticut,9.9899998,237.017,7,5.5999999,65.900002,273603.03,34.397999,76243.10413,-1.236414,3588.561
2016,Connecticut,10.35,240.007,7,4.9000001,65.900002,274257.09,34.158318,76611.76369,-1.1940196,3579.83
2017,Connecticut,10.66,245.12,7,4.4000001,66.099998,278847.25,33.815201,77992.16239,-1.154412,3575.324
2018,Connecticut,10.4,251.10699,7,3.9000001,66.099998,281822.84,33.558765,78841.24512,-1.1714923,3574.561
2019,Connecticut,11.13,255.657,7,3.5999999,66.5,283510.44,33.962666,79503.27844,-1.1156178,3566.022
2020,Connecticut,11,258.66,7,7.9000001,65,265917.22,36.25,74758.72124,-1.192544,3557.006
2001,Delaware,8.9799995,177.10001,8,3.5999999,69.699997,65803.547,26.999365,82699.04449,-1.1008134,795.699
2002,Delaware,8.8400002,179.89999,8,4.3000002,68.099998,63731.344,27.441296,79054.57044,-1.132762,806.169
2003,Delaware,8.6499996,184,8,4.5,66.800003,64594.289,27.710022,78965.83387,-1.1642346,818.003
2004,Delaware,8.4200001,188.89999,8,4.3000002,66.5,67716.797,27.984291,81507.64622,-1.2010336,830.803
2005,Delaware,8.1499996,195.3,8,4.5,67.199997,66888.461,28.425541,79143.8928,-1.2492702,845.15
2006,Delaware,7.8899999,201.60001,8,3.9000001,67.400002,68341.773,28.56455,79534.87503,-1.2865703,859.268
2007,Delaware,8.3000002,207.342,8,3.5999999,66.699997,68176.734,28.396549,78206.83935,-1.2300122,871.749
2008,Delaware,8.5900002,215.30299,8,5,66.400002,66122.57,27.498037,74809.95029,-1.1635158,883.874
2009,Delaware,8.6199999,214.537,8,8.3000002,63.900002,69348.906,27.717039,77768.95024,-1.1679623,891.73
2010,Delaware,8.6000004,218.056,8,8.6999998,62.200001,68288.68,27.77346,75906.08316,-1.1723187,899.647
2011,Delaware,8.3400002,224.939,8,7.5999999,62.400002,70928.93,27.930815,78150.85005,-1.2086673,907.59
